year,name
1778,DIETRICK METZNER
1778,JOHN RUNDLE
1778,MILCHOR HILL
1778,HUGH MEANS
1778,ROBERT CORREY
1778,JACOB WEISS
1778,JACOB WIESS
1778,WILLIAM INNES
1778,LEWIS GRANT
1778,MARY BROWNE
1778,WILLIAM INNIS
1778,WILLIAM RICHARDS
1778,MARY ROBERTS
1778,MCLEHAN HILL
1778,ROBERT CARREY
1778,JOSEPH MOULDER
1778,JAMES SMITH
1778,WILLIAM RICHARD
1778,ANDREW DUCHÉ
1778,JOHN STEVENS
1778,ISAAC FOSTER
1778,JOHN MCCAREY
1778,MARY WALLOW
1778,JOHN MCCRERY
1778,JAMES SHARP
1778,JOHN MCCREARY
1778,DANIEL TOY
1778,WILLIAM BROWN
1778,WILLIAM D SMITH
1778,JANE MONTGOMERY
1778,ELIZABETH BOYD
1778,PHILIP BONTZ
1778,WILLIAM WHITE
1778,ELIZABETH HAMON
1778,JOHN KREWSON
1778,JOHN HOWSON
1778,JACOB GARRISON
1778,JOHN MACKOY
1778,ELIZABETH MITCHELL
1778,GEORGE LUC
1778,ISABEL CRAIGHEAD
1778,JOHN DUNLAP
1778,WINDLE SEIBERT
1778,BENJAMIN JOHNSON
1778,CHRISTIAN LOWER
1778,KINDLE SCHUCHART
1778,JAN MONTGOMERY
1778,ALICE VANADALLON
1778,JOHN WOODHULL
1778,JOHN MANN
1778,HARRY KREWSIN
1778,WILLIAM HANDEL
1778,PHILIP BUSH
1778,JONATHAN POTTS
1778,SARAH KENNEDY
1778,ANDREW GEYER
1778,ANDREW BOSHART
1778,WILLIAM HENRY
1778,JOHN BALL
1778,BAR WAMBACK
1778,BARTHOLOMEW WANBANK
1778,SAMUEL MERIDITH
1778,PHILIP BENTY
1778,ALEXANDER JONSTON
1778,ANDREW YEATMAN
1778,WILLIAM MCINTIRE
1778,SAMUEL MEREDITH
1778,BENJAMIN CONDY
1778,BENJAMIN PONDY
1778,BARTHOLOMEW WAMBACK
1778,MARY BART
1778,BARTHOLOMIUS WAMBASK
1778,JOHN RAMSEY
1778,MARY FISHBOURNE
1778,JOHN FRITCH
1778,SARAH EMLEN
1778,HANNAH FISHBOURN
1778,BENJAMIN FISHBOURNE
1778,MARY FISHBOURN
1778,ELIZABETH WHARTON
1778,BENJAMIN FISHBOURN
1778,SUSANNA BETHEL
1778,ELIZABETH HARMAN
1778,DICTRICK METZNER
1778,MARGARET KLINE
1778,SUS BETHEL
1778,SUSANNAH BETHEL
1778,ROBERT W LAUGHLIN
1778,JOHN DUNBAR
1778,ROBERT MCLAUGLIN
1778,EBENEZER HAYARD
1778,PAUL ENGLE
1778,SAMUEL MAN
1778,ELIZABETH HANNAR
1778,CATHERINE GRAFF
1778,JOSEPH PENNELL
1778,WILLIAM FARRIS
1778,JONATHAN BIRRE
1778,JOHN VORHUS
1778,JOSEPH SMITH
1778,WILLIAM BOOS
1778,WILLIAM KISBY
1778,NATHAN DONNEL FOR THESTAH OFF FUMMINGHAM FOR HIS DAUGHTER
1778,DENIAH BUKER
1778,JAMES BYERS
1778,WILLIAM KENLY
1778,JOHN MITCHELL
1778,JOSEPH SIMMONS
1778,WILLIAM SHERER
1778,JOHN PENN
1778,WILLIAM ROGERS
1778,PETER GONDER
1778,THOMAS JONES
1778,JOHN JENN
1778,PETER STRIKER
1778,SARAH CAMBELL
1778,PETER STRICKER
1778,JOHN WALLACE
1778,CHARLOTTE ROUSH
1778,ANN FINDLY
1778,CHARLES BUGH
1778,CHARLES BURGE
1778,CHARLES THOMPSON
1778,JOHN COVENHOVEN
1778,ELIZABETH DESHLER
1778,JAMES CLYD
1778,JACOB FISHER
1778,DANIEL LAYMAN
1778,JOHN FITCH
1778,JOHN KNIGHT
1778,GEORGE NELSON
1778,JOHN VERHEES
1778,CASPARUS WILBERG
1778,CLIHU HALL
1778,ELIHU HALL
1778,THOMAS FINLAY
1778,JOHN ELDRIDGE
1778,FRANCIS JOHNSON
1778,WILLIAM PATTERSON
1778,AMY MIGHER
1778,JOHN WALLES FOR CATH MCWATER
1778,BENJAMIN LOXLEY
1778,STEPHEN JOHNS
1778,AICH THOMPSON
1778,JAMES FRANCIS RANSTROY
1778,JOSEPH WILSON
1778,JOHN SCHILLINBERG
1778,SAMUEL JONES
1778,JOSEPH MILLS
1778,JOHN DOELLING
1778,THOMAS HARRISON
1778,JOSEPH STILES
1778,PHILIP TANNER
1778,JAMES SPROOLE
1778,HENRY MUTHLENBURSS
1778,ELIZABETH BRUSE
1778,SAMUEL BRUSE
1778,JANE CORREY
1778,BARTLE WHITE
1778,JAMES MILLER
1778,MARY MCILVAINE
1778,MATTHEW CLARKSON
1778,THOMAS KENNEDY
1778,CHRISTIAN ECKSTEIN
1778,FREDERICK
1778,JOHN ROSS
1778,GERARDUS WYNKOOP
1778,ELEANOR LIOTEE
1778,PAUL DOWLING
1778,JANE CORNELL
1778,NICHOLAS KURTZ
1778,BOYD DORITOS
1778,JOSIAH CRANE
1778,HAL TURNBY
1778,JOSEPH CLARKE
1778,ACH JONES
1778,JAMES KELTON
1778,DAVID FLEMING
1778,WILLIAM KURTZ
1778,ISAAC ROUSH & MARY BLDNEY OF JACOB CARVER
1778,ISAAC BEARS
1778,ROBERT NOBLE
1778,JOHN IRWIN
1778,JER HALSEY
1778,WILLIAM KENNEDY
1778,JOHN HAMPTON
1778,PRESTON TRANZER
1778,GEORGE DOUGLASS
1778,JOHN LILLY
1778,MILNER AND HAYNES
1778,JACOB LEITER
1778,GEORGE SHIRT
1778,FRANCIS LEWIS
1778,ELIZABETH BULLOCK
1778,SAMUEL ARMSTRONG
1778,ELIZABETH VERMILER
1778,ISAAC MOSES
1778,DERICK KREWSON
1778,ELIZABETH YOASH
1778,PHILIP BACHM
1778,JOHN KRESON
1778,RICH WALKER
1778,ISAAC GARRIGUES
1778,THOMAS TAUNTON
1778,ROBERT CURREY
1778,ANDREW SINISTER
1778,JOHN SHELLENBERG
1778,ELIZABETH MCCRERY
1778,JOSEPH AILES
1778,JAMES HUTCHINSON
1778,WILLIAM LONG
1778,SUSANNA COATES
1778,HARRI PATER BEYER
1778,JOSEPH HART
1778,PERSIFOR FRAZIER
1778,LEETITCA CUNNINGHAM
1778,JOSEPH FREDS
1778,PHILIP ROTHROCK
1778,ANDREW PENICKSON
1778,JOHN WATTERS
1778,HENRY ARMISTEAD
1778,ELIZABETH MORRIS
1778,GERARD W BECKMAN
1778,JOHN COBURNE
1778,SAMUEL HAZARD
1778,JOHN COBURN
1778,RICHARD HUMPTON
1778,RICHARD SOMERS
1778,JEDEDIAH SNOWDEN
1778,AZARIAH HORTON
1778,BARBARA ECKSLINE
1778,JOSEPH GREEN
1778,JOSEPH WARN
1778,JOHN WALTERS
1778,WILLIAM HAZLEWOOD
1778,WILLIAM HAZELWOOD
1778,WILLIAM BLARE
1778,HENRY MECKLENBURG
1778,SAMUEL HAVARD
1778,CHRISTIAN ECKERTON
1778,ELIEZAR OSWALD
1778,ELIZUR OSWORLD
1778,JOHN DEALING
1778,HARMAN SOZMANHOMER
1778,HARMAN LOZMANHAUS
1778,ALEXANDER MITCHELL
1778,ESTHER JONES
1778,PETER LEFFERMAN
1778,HENRY MUHLENBERG
1778,PHILIP JACOB FOCSIG
1778,AZARIAH DUNHAN
1778,RICHARD CARY
1778,GEORGE SCHLAPER
1778,DAVID RITTENHOUSE
1778,JOSEPH CAWN
1778,THOMAS CUTHBERT
1778,THOMAS CHUBART
1778,WILIAM KERR
1778,ETHER GILLERT
1778,BENJAMIN PAREHALE
1778,JOSEPH GRUR
1778,NICHOLAS MILLER
1778,JOHN DANLUP
1778,JOHN CAVOTT AND JACOB AIVL FOR MOSES DICHEY AND GEORGE DUKEY
1778,JOHN TOWNLAP
1778,ROBERT WILKIN
1778,ROBERT WILLIUM
1778,RICH CARY
1778,ELIZABETH BUTLOCK
1778,JOSEPH BULLOCK
1778,MELCHER SCHMIEDER
1778,THOMAS BUTHBERT
1778,OWEN BIDDLE
1778,GEERUTAR CHARHENN
1778,CHRIS EMON SCHEEBY
1778,HANNAH DAVIS
1778,ELIZABETH VARNELIA
1778,JOHN HODGE
1778,MATH CLARKIN
1778,ANN TWIDEE
1778,BERNARD HUBLEY
1778,MICHAEL DOUD
1778,JACOB DEEHART
1778,BERN HUBBY
1778,HENRY KEPPLE
1778,ROBERT STEWART JAGGART
1778,JOSEPH BOYD
1778,ROBERT TAGGART
1778,ROBERT HAGGERT
1778,JOSEPH PFULLER
1778,JAMES MEASE
1778,JAMES MEARE
1778,JAMES MEAN
1778,PETER WITNER
1778,BENJAMIN RUMSEY
1778,ELIAZOR LYON
1778,ADAM FOULKE
1778,RICHARD WALKER
1778,JOSEPH SACKETT
1778,THOMAS LEEPER
1778,THOMAS LEIPER
1778,BENJAMIN RUMSAY
1778,ROBERT S HOOPER
1778,JACOB DEECKART
1778,ROBERT HOOPE
