original_row,raw_name,state,Face Value,Specie Value
1233,WILLIAM GARDNER,NH,400,145.8444
1234,WILLIAM GARDNER,NH,400,145.8444
1235,WILLIAM GARDNER,NH,400,145.8444
1236,WILLIAM GARDNER,NH,400,145.8444
1237,WILLIAM GARDNER,NH,400,145.8444
1238,WILLIAM GARDNER,NH,400,145.8444
1239,WILLIAM GARDNER,NH,400,145.8444
1240,WILLIAM GARDNER,NH,400,145.8444
1241,WILLIAM GARDNER,NH,400,145.8444
1269,WILLIAM GARDNER,NH,400,108.4222
1480,WILLIAM GARDNER,NH,500,444.5667
1481,WILLIAM GARDNER,NH,500,444.5667
1495,WILLIAM GARDNER,NH,500,329.3667
1496,WILLIAM GARDNER,NH,500,329.3667
1497,WILLIAM GARDNER,NH,500,329.3667
1498,WILLIAM GARDNER,NH,500,329.3667
1499,WILLIAM GARDNER,NH,500,329.3667
1502,WILLIAM GARDNER,NH,500,312.5111
1503,WILLIAM GARDNER,NH,500,312.5111
1504,WILLIAM GARDNER,NH,500,312.5111
1505,WILLIAM GARDNER,NH,500,312.5111
1506,WILLIAM GARDNER,NH,500,312.5111
1547,WILLIAM GARDNER,NH,500,182.2889
1548,WILLIAM GARDNER,NH,500,182.2889
1549,WILLIAM GARDNER,NH,500,182.2889
1550,WILLIAM GARDNER,NH,500,182.2889
1551,WILLIAM GARDNER,NH,500,182.2889
1552,WILLIAM GARDNER,NH,500,182.2889
1553,WILLIAM GARDNER,NH,500,182.2889
1554,WILLIAM GARDNER,NH,500,182.2889
1555,WILLIAM GARDNER,NH,500,182.2889
1655,WILLIAM GARDNER,NH,600,520.4444
1656,WILLIAM GARDNER,NH,600,520.4444
1657,WILLIAM GARDNER,NH,600,520.4444
1658,WILLIAM GARDNER,NH,600,520.4444
1659,WILLIAM GARDNER,NH,600,520.4444
1821,WILLIAM GARDNER,NH,1000,889.1333
1822,WILLIAM GARDNER,NH,1000,889.1333
1823,WILLIAM GARDNER,NH,1000,889.1333
1824,WILLIAM GARDNER,NH,1000,889.1333
1825,WILLIAM GARDNER,NH,1000,889.1333
1826,WILLIAM GARDNER,NH,1000,889.1333
1827,WILLIAM GARDNER,NH,1000,889.1333
1828,WILLIAM GARDNER,NH,1000,889.1333
1829,WILLIAM GARDNER,NH,1000,889.1333
1864,WILLIAM GARDNER,NH,1000,364.6111
17870,JEDEDIAH HUNTINGTON,CT,400,400.0
17871,JEDEDIAH HUNTINGTON,CT,400,400.0
17872,JEDEDIAH HUNTINGTON,CT,400,400.0
17873,JEDEDIAH HUNTINGTON,CT,400,400.0
17874,JEDEDIAH HUNTINGTON,CT,400,400.0
17875,JEDEDIAH HUNTINGTON,CT,400,400.0
17876,JEDEDIAH HUNTINGTON,CT,400,400.0
17877,JEDEDIAH HUNTINGTON,CT,400,400.0
17878,JEDEDIAH HUNTINGTON,CT,400,400.0
17879,JEDEDIAH HUNTINGTON,CT,400,400.0
17880,JEDEDIAH HUNTINGTON,CT,400,400.0
17881,JEDEDIAH HUNTINGTON,CT,400,400.0
17882,JEDEDIAH HUNTINGTON,CT,400,400.0
17883,JEDEDIAH HUNTINGTON,CT,400,400.0
17884,JEDEDIAH HUNTINGTON,CT,400,400.0
17885,JEDEDIAH HUNTINGTON,CT,400,400.0
17906,JEDEDIAH HUNTINGTON,CT,300,300.0
17907,JEDEDIAH HUNTINGTON,CT,300,300.0
18371,JEDEDIAH HUNTINGTON,CT,400,400.0
18372,JEDEDIAH HUNTINGTON,CT,400,400.0
18373,JEDEDIAH HUNTINGTON,CT,400,400.0
18374,JEDEDIAH HUNTINGTON,CT,400,400.0
18375,JEDEDIAH HUNTINGTON,CT,400,400.0
18376,JEDEDIAH HUNTINGTON,CT,400,400.0
18384,JEDEDIAH HUNTINGTON,CT,300,300.0
18385,JEDEDIAH HUNTINGTON,CT,300,300.0
19196,JEDEDIAH HUNTINGTON,CT,600,535.1333
19198,JEDEDIAH HUNTINGTON,CT,500,445.9444
19304,JEDEDIAH HUNTINGTON,CT,600,471.425
19305,JEDEDIAH HUNTINGTON,CT,600,471.425
19834,JEDEDIAH HUNTINGTON,CT,300,178.4542
23692,JEDEDIAH HUNTINGTON,CT,600,47.825
23695,JEDEDIAH HUNTINGTON,CT,500,39.8542
24266,JEDEDIAH HUNTINGTON,CT,4000,299.0556
24280,JEDEDIAH HUNTINGTON,CT,500,37.3819
24573,JEDEDIAH HUNTINGTON,CT,500,29.1319
24574,JEDEDIAH HUNTINGTON,CT,500,29.1319
24863,JEDEDIAH HUNTINGTON,CT,3000,133.6667
24864,JEDEDIAH HUNTINGTON,CT,3000,133.6667
24882,JEDEDIAH HUNTINGTON,CT,200,8.8389
33846,JAMES MOTT,NJ,400,57.8833
33847,JAMES MOTT,NJ,400,57.8833
37471,JAMES MOTT,NJ,500,21.3125
37472,JAMES MOTT,NJ,500,21.3125
37895,JAMES MOTT,NJ,2000,59.3889
37899,JAMES MOTT,NJ,400,11.8778
37900,JAMES MOTT,NJ,400,11.8778
37901,JAMES MOTT,NJ,1000,29.6944
37904,JAMES MOTT,NJ,200,5.9389
64762,CHRISTIAN FEBIGER,PA,500,12.5
64763,CHRISTIAN FEBIGER,PA,500,12.5
64764,CHRISTIAN FEBIGER,PA,500,12.5
64765,CHRISTIAN FEBIGER,PA,500,12.5
64766,CHRISTIAN FEBIGER,PA,500,12.5
64767,CHRISTIAN FEBIGER,PA,500,12.5
64768,CHRISTIAN FEBIGER,PA,500,12.5
64769,CHRISTIAN FEBIGER,PA,500,12.5
64770,CHRISTIAN FEBIGER,PA,500,12.5
64771,CHRISTIAN FEBIGER,PA,500,12.5
76801,WILLIAM RICHARDSON,MD,400,33.2333
76802,WILLIAM RICHARDSON,MD,400,33.2333
76815,WILLIAM RICHARDSON,MD,1000,83.0833
76816,WILLIAM RICHARDSON,MD,1000,83.0833
79248,WILLIAM RICHARDSON,MD,200,5.0
